t_sec,stock1,stock2
795,273.6,117.6
796,273.6,117.6
797,273.6,117.6
798,273.6,117.6
799,273.6,117.6
800,273.6,117.6
801,273.6,117.6
802,273.6,117.6
803,273.6,117.6
804,273.6,117.6
805,273.6,117.6
806,273.6,117.6
807,273.6,117.6
808,273.6,117.6
809,273.6,117.6
810,273.6,117.6
811,273.6,117.6
812,273.6,117.6
813,273.6,117.6
814,273.6,117.6
815,273.6,117.6
816,273.6,117.6
817,273.6,117.6
818,273.6,117.6
819,273.6,117.6
820,273.6,117.6
821,273.6,117.6
822,273.6,117.6
823,273.6,117.6
824,273.6,117.6
825,273.6,117.6
826,273.6,117.6
827,273.6,117.6
828,273.6,117.6
829,273.6,117.6
830,274.8,116.8
831,274.8,116.8
832,274.8,116.8
833,274.8,116.8
834,274.8,116.8
835,274.8,116.8
836,274.8,116.8
837,274.8,116.8
838,274.8,116.8
839,274.8,116.8
840,274.8,116.8
841,274.8,116.8
842,274.8,116.8
843,274.8,116.8
844,274.8,116.8
845,274.8,116.8
846,274.8,116.8
847,274.8,116.8
848,274.8,116.8
849,274.8,116.8
850,274.8,116.8
851,274.8,116.8
852,274.8,116.8
853,274.8,116.8
854,274.8,116.8
855,274.8,116.8
856,274.8,116.8
857,274.8,116.8
858,274.8,116.8
859,274.8,116.8
860,274.8,116.8
861,274.8,116.8
862,274.8,116.8
863,274.8,116.8
864,274.8,116.8
865,274.8,116.8
866,274.8,116.8
867,274.8,116.8
868,274.8,116.8
869,274.8,116.8
870,274.8,116.8
871,274.8,116.8
872,274.8,116.8
873,274.8,116.8
874,274.8,116.8
875,274.8,116.8
876,274.8,116.8
877,274.8,116.8
878,274.8,116.8
879,274.8,116.8
880,274.8,116.8
881,274.8,116.8
882,274.8,116.8
883,274.8,116.8
884,274.8,116.8
885,274.8,116.8
886,274.8,116.8
887,274.8,116.8
888,274.8,116.8
889,274.8,116.8
890,274.8,116.8
891,274.8,116.8
892,274.8,116.8
893,274.8,116.8
894,274.8,116.8
895,274.8,116.8
896,274.8,116.8
897,274.8,116.8
898,283.5,111
899,283.5,111
900,283.5,111
901,273.9,117.4
902,273.9,117.4
903,273.9,117.4
904,273.9,117.4
905,273.9,117.4
906,273.9,117.4
907,273.9,117.4
908,273.9,117.4
909,273.9,117.4
910,273.9,117.4
911,273.9,117.4
912,273.9,117.4
913,273.9,117.4
914,273.9,117.4
915,273.9,117.4
916,273.9,117.4
917,273.9,117.4
918,273.9,117.4
919,273.9,117.4
920,273.9,117.4
921,273.9,117.4
922,273.9,117.4
923,273.9,117.4
924,273.9,117.4
925,273.9,117.4
926,273.9,117.4
927,273.9,117.4
928,273.9,117.4
929,273.9,117.4
930,273.9,117.4
931,273.9,117.4
932,273.9,117.4
933,273.9,117.4
934,273.9,117.4
935,273.9,117.4
936,273.9,117.4
937,273.9,117.4
938,273.9,117.4
939,273.9,117.4
940,273.9,117.4
941,274.2,117.2
942,274.2,117.2
943,274.2,117.2
944,274.2,117.2
945,274.2,117.2
946,274.2,117.2
947,274.2,117.2
948,274.2,117.2
949,274.2,117.2
950,274.2,117.2
951,274.2,117.2
952,274.2,117.2
953,274.2,117.2
954,274.2,117.2
955,274.2,117.2
956,274.2,117.2
957,274.2,117.2
958,274.2,117.2
959,274.2,117.2
960,274.2,117.2
961,274.2,117.2
962,274.2,117.2
963,274.2,117.2
964,274.2,117.2
965,274.2,117.2
966,274.2,117.2
967,274.2,117.2
968,274.2,117.2
969,274.2,117.2
970,274.2,117.2
971,274.2,117.2
972,274.2,117.2
973,274.2,117.2
974,274.2,117.2
975,274.2,117.2
976,274.2,117.2
977,274.2,117.2
978,274.2,117.2
979,274.2,117.2
980,274.2,117.2
981,274.2,117.2
982,274.2,117.2
983,274.2,117.2
984,274.2,117.2
985,274.2,117.2
986,274.2,117.2
987,274.2,117.2
988,274.2,117.2
989,274.2,117.2
990,274.2,117.2
991,274.2,117.2
992,274.2,117.2
993,287.7,108.2
994,287.7,108.2
995,287.7,108.2
996,287.7,108.2
997,287.7,108.2
998,287.7,108.2
999,287.7,108.2
1000,287.7,108.2
1001,289.2,107.2
1002,289.2,107.2
1003,289.2,107.2
1004,289.2,107.2
1005,291,106
1006,291,106
1007,291,106
1008,291,106
1009,291,106
1010,291,106
1011,291,106
1012,291,106
1013,291,106
1014,278.7,114.2
1015,278.7,114.2
1016,278.7,114.2
1017,278.7,114.2
1018,278.7,114.2
1019,278.7,114.2
1020,278.7,114.2
1021,278.7,114.2
1022,278.7,114.2
1023,278.7,114.2
1024,278.7,114.2
1025,278.7,114.2
1026,278.7,114.2
1027,278.7,114.2
1028,278.7,114.2
1029,278.7,114.2
1030,278.7,114.2
1031,278.7,114.2
1032,278.7,114.2
1033,278.7,114.2
1034,278.7,114.2
1035,278.7,114.2
1036,278.7,114.2
1037,278.7,114.2
1038,278.7,114.2
1039,278.7,114.2
1040,278.7,114.2
1041,278.7,114.2
1042,278.7,114.2
1043,278.7,114.2
1044,278.7,114.2
1045,278.7,114.2
1046,278.7,114.2
1047,278.7,114.2
1048,278.7,114.2
1049,278.7,114.2
1050,278.7,114.2
1051,278.7,114.2
1052,278.7,114.2
1053,278.7,114.2
1054,278.7,114.2
1055,278.7,114.2
1056,278.7,114.2
1057,278.7,114.2
1058,278.7,114.2
1059,278.7,114.2
1060,278.7,114.2
1061,278.7,114.2
1062,278.7,114.2
1063,278.7,114.2
1064,278.7,114.2
1065,278.7,114.2
1066,278.7,114.2
1067,278.7,114.2
1068,278.7,114.2
1069,278.7,114.2
1070,278.7,114.2
1071,278.7,114.2
1072,278.7,114.2
1073,278.7,114.2
1074,278.7,114.2
1075,278.7,114.2
1076,278.7,114.2
1077,278.7,114.2
1078,278.7,114.2
1079,278.7,114.2
1080,287.7,108.2
1081,287.7,108.2
1082,287.7,108.2
1083,287.7,108.2
1084,287.7,108.2
1085,287.7,108.2
1086,287.7,108.2
1087,287.7,108.2
1088,287.7,108.2
1089,287.7,108.2
1090,287.7,108.2
1091,287.7,108.2
1092,287.7,108.2
1093,287.7,108.2
1094,287.7,108.2
1095,287.7,108.2
1096,287.7,108.2
1097,287.7,108.2
1098,287.7,108.2
1099,287.7,108.2
1100,287.7,108.2
1101,287.7,108.2
1102,287.7,108.2
1103,287.7,108.2
1104,287.7,108.2
1105,287.7,108.2
1106,287.7,108.2
1107,287.7,108.2
1108,287.7,108.2
1109,287.7,108.2
1110,287.7,108.2
1111,290.1,106.6
1112,290.1,106.6
1113,290.1,106.6
1114,290.1,106.6
1115,290.1,106.6
1116,290.1,106.6
1117,290.1,106.6
1118,290.1,106.6
1119,290.1,106.6
1120,290.1,106.6
1121,290.1,106.6
1122,290.1,106.6
1123,292.8,104.8
1124,292.8,104.8
1125,292.8,104.8
1126,292.8,104.8
1127,292.8,104.8
1128,292.8,104.8
1129,292.8,104.8
1130,292.8,104.8
1131,292.8,104.8
1132,292.8,104.8
1133,292.8,104.8
1134,292.8,104.8
1135,292.8,104.8
1136,292.8,104.8
1137,292.8,104.8
1138,292.8,104.8
1139,292.8,104.8
1140,292.8,104.8
1141,292.8,104.8
1142,292.8,104.8
1143,292.8,104.8
1144,292.8,104.8
1145,292.8,104.8
1146,292.8,104.8
1147,292.8,104.8
1148,287.7,108.2
1149,287.7,108.2
1150,287.7,108.2
1151,287.7,108.2
1152,287.7,108.2
1153,287.7,108.2
1154,287.7,108.2
1155,287.7,108.2
1156,287.7,108.2
1157,287.7,108.2
1158,287.7,108.2
1159,287.7,108.2
1160,287.7,108.2
1161,287.7,108.2
1162,287.7,108.2
1163,287.7,108.2
1164,287.7,108.2
1165,287.7,108.2
1166,287.7,108.2
1167,287.7,108.2
1168,287.7,108.2
1169,287.7,108.2
1170,287.7,108.2
1171,287.7,108.2
1172,287.7,108.2
1173,287.7,108.2
1174,287.7,108.2
1175,287.7,108.2
1176,287.7,108.2
1177,287.7,108.2
1178,287.7,108.2
1179,287.7,108.2
1180,287.7,108.2
1181,287.7,108.2
1182,287.7,108.2
1183,287.7,108.2
1184,287.7,108.2
1185,287.7,108.2
1186,287.7,108.2
1187,287.7,108.2
1188,287.7,108.2
1189,287.7,108.2
1190,287.7,108.2
1191,287.7,108.2
1192,287.7,108.2
1193,287.7,108.2
1194,287.7,108.2
1195,287.7,108.2
1196,287.7,108.2
1197,287.7,108.2
1198,287.7,108.2
1199,287.7,108.2
1200,287.7,108.2
1201,287.7,108.2
1202,287.7,108.2
1203,287.7,108.2
1204,288.9,107.4
1205,288.9,107.4
1206,288.9,107.4
1207,288.9,107.4
1208,288.9,107.4
1209,288.9,107.4
1210,288.9,107.4
1211,288.9,107.4
1212,288.9,107.4
1213,288.9,107.4
1214,288.9,107.4
1215,288.9,107.4
1216,288.9,107.4
1217,288.9,107.4
1218,288.9,107.4
1219,288.9,107.4
1220,288.9,107.4
1221,288.9,107.4
1222,288.9,107.4
1223,288.9,107.4
1224,288.9,107.4
1225,288.9,107.4
1226,288.9,107.4
1227,288.9,107.4
1228,288.9,107.4
1229,288.9,107.4
1230,288.9,107.4
1231,288.9,107.4
1232,288.9,107.4
1233,288.9,107.4
1234,288.9,107.4
1235,288.9,107.4
1236,288.9,107.4
1237,288.9,107.4
1238,288.9,107.4
1239,288.9,107.4
1240,288.9,107.4
1241,288.9,107.4
1242,288.9,107.4
1243,288.9,107.4
1244,288.9,107.4
1245,288.9,107.4
1246,288.9,107.4
1247,288.9,107.4
1248,288.9,107.4
1249,288.9,107.4
1250,288.9,107.4
1251,288.9,107.4
1252,288.9,107.4
1253,288.9,107.4
1254,288.9,107.4
1255,288.9,107.4
1256,288.9,107.4
1257,288.9,107.4
1258,288.9,107.4
1259,288.9,107.4
1260,288.9,107.4
1261,288.9,107.4
1262,307.2,95.2
1263,307.2,95.2
1264,307.2,95.2
1265,307.2,95.2
1266,307.2,95.2
1267,307.2,95.2
1268,307.2,95.2
1269,307.2,95.2
1270,307.2,95.2
1271,307.2,95.2
1272,307.2,95.2
1273,307.2,95.2
1274,307.2,95.2
1275,307.2,95.2
1276,307.2,95.2
1277,307.2,95.2
1278,307.2,95.2
1279,307.2,95.2
1280,307.2,95.2
1281,307.2,95.2
1282,307.2,95.2
1283,307.2,95.2
1284,307.2,95.2
1285,307.2,95.2
1286,307.2,95.2
1287,307.2,95.2
1288,307.2,95.2
1289,307.2,95.2
1290,307.2,95.2
1291,307.2,95.2
1292,307.2,95.2
1293,307.2,95.2
1294,307.2,95.2
1295,307.2,95.2
1296,307.2,95.2
1297,307.2,95.2
1298,307.2,95.2
1299,307.2,95.2
1300,307.2,95.2
1301,307.2,95.2
1302,307.2,95.2
1303,307.2,95.2
1304,307.2,95.2
1305,307.2,95.2
1306,307.2,95.2
1307,307.2,95.2
1308,307.2,95.2
1309,307.2,95.2
1310,307.2,95.2
1311,307.2,95.2
1312,307.2,95.2
1313,307.2,95.2
1314,307.2,95.2
1315,307.2,95.2
1316,307.2,95.2
1317,307.2,95.2
1318,307.2,95.2
1319,307.2,95.2
1320,307.2,95.2
1321,307.2,95.2
1322,307.2,95.2
1323,307.2,95.2
1324,307.2,95.2
1325,307.2,95.2
1326,316.2,89.2
1327,316.2,89.2
1328,316.2,89.2
1329,316.2,89.2
1330,316.2,89.2
1331,316.2,89.2
1332,316.2,89.2
1333,316.2,89.2
1334,316.2,89.2
1335,316.2,89.2
1336,316.2,89.2
1337,316.2,89.2
1338,316.2,89.2
1339,316.2,89.2
1340,319.8,86.8
1341,319.8,86.8
1342,319.8,86.8
1343,319.8,86.8
1344,319.8,86.8
1345,319.8,86.8
1346,319.8,86.8
1347,319.8,86.8
1348,319.8,86.8
1349,319.8,86.8
1350,319.8,86.8
1351,319.8,86.8
1352,319.8,86.8
1353,319.8,86.8
1354,319.8,86.8
1355,319.8,86.8
1356,319.8,86.8
1357,319.8,86.8
1358,319.8,86.8
1359,319.8,86.8
1360,319.8,86.8
1361,319.8,86.8
1362,319.8,86.8
1363,319.8,86.8
1364,319.8,86.8
1365,319.8,86.8
1366,319.8,86.8
1367,319.8,86.8
1368,319.8,86.8
1369,319.8,86.8
1370,319.8,86.8
1371,319.8,86.8
1372,319.8,86.8
1373,319.8,86.8
1374,319.8,86.8
1375,319.8,86.8
1376,319.8,86.8
1377,319.8,86.8
1378,319.8,86.8
1379,314.1,90.6
1380,314.1,90.6
1381,314.1,90.6
1382,314.1,90.6
1383,314.1,90.6
1384,314.1,90.6
1385,314.1,90.6
1386,314.1,90.6
1387,314.1,90.6
1388,314.1,90.6
1389,314.1,90.6
1390,314.1,90.6
1391,314.1,90.6
1392,314.1,90.6
1393,314.1,90.6
1394,314.1,90.6
1395,314.1,90.6
1396,314.1,90.6
1397,314.1,90.6
1398,314.1,90.6
1399,314.1,90.6
1400,314.1,90.6
1401,314.1,90.6
1402,314.1,90.6
1403,314.1,90.6
1404,314.1,90.6
1405,314.1,90.6
1406,314.1,90.6
1407,314.1,90.6
1408,314.1,90.6
1409,314.1,90.6
1410,314.1,90.6
1411,314.1,90.6
1412,314.1,90.6
1413,314.1,90.6
1414,314.1,90.6
1415,314.1,90.6
1416,314.1,90.6
1417,319.5,87
1418,319.5,87
1419,319.5,87
1420,319.5,87
1421,319.5,87
1422,319.5,87
1423,319.5,87
1424,319.5,87
1425,319.5,87
1426,319.5,87
1427,319.5,87
1428,319.5,87
