t_sec,symbol,bid,bid_size,ask,ask_size
1679.643,S1,550.00,100,650.00,200
1680.188,S1,500.00,20599,650.00,200
1681.612,S1,560.00,1000,650.00,200
1684.465,S1,550.00,100,650.00,200
1686.630,S1,560.00,1000,650.00,200
1697.091,S1,560.00,1000,649.00,1000
1707.111,S1,600.00,500,649.00,1000
1717.113,S1,600.00,500,640.00,1000
1717.285,S1,600.00,500,640.00,2000
1726.192,S1,600.00,500,620.00,200
1732.645,S1,600.00,400,620.00,200
1733.196,S1,600.00,300,620.00,200
1733.804,S1,600.00,200,620.00,200
1739.765,S1,600.00,200,620.00,1200
1751.897,S1,600.00,100,620.00,1200
1752.568,S1,572.00,600,620.00,1200
1752.722,S1,572.00,500,620.00,1200
1752.753,S1,561.00,500,620.00,1200
1752.927,S1,560.00,500,620.00,1200
1753.069,S1,559.00,500,620.00,1200
1753.250,S1,400.00,600,620.00,1200
1753.584,S1,550.00,100,620.00,1200
1753.604,S1,350.00,700,620.00,1200
1753.789,S1,330.00,390,620.00,1200
1753.931,S1,600.00,250,620.00,1200
1753.972,S1,300.00,8840,620.00,1200
1754.159,S1,300.00,7840,620.00,1200
1754.391,S1,300.00,6840,620.00,1200
1754.593,S1,300.00,5840,620.00,1200
1754.786,S1,300.00,4840,620.00,1200
1755.128,S1,300.00,3840,620.00,1200
1755.700,S1,300.00,3840,600.00,9
1759.014,S1,400.00,1000,600.00,9
1759.114,S1,300.00,3840,600.00,9
1759.246,S1,300.00,3840,600.00,259
1759.458,S1,300.00,3840,600.00,509
1759.612,S1,350.00,600,600.00,509
1759.641,S1,350.00,600,600.00,759
1759.722,S1,300.00,3440,600.00,759
1760.078,S1,300.00,3440,600.00,1009
1760.188,S1,300.00,3440,600.00,1259
1760.330,S1,300.00,2440,600.00,1259
1760.481,S1,300.00,2440,600.00,1509
1760.481,S1,300.00,2440,600.00,1759
1760.683,S1,300.00,2440,600.00,2009
1760.906,S1,300.00,1440,600.00,2009
1761.469,S1,300.00,440,600.00,2009
1761.501,S1,300.00,440,600.00,2259
1762.021,S1,250.00,240,600.00,2259
1762.600,S1,250.00,340,600.00,2259
