id,t_sec,symbol,price,qty,taker_side,buyer,seller,bid,ask
3696,3175.962,S1,700.00,100,buy,T-025,T-017,520.00,700.00
3697,3175.962,S1,900.00,100,buy,T-025,T-041,520.00,700.00
3698,3175.962,S1,1000.00,618,buy,T-025,T-035,520.00,700.00
3699,3175.962,S1,1000.00,182,buy,T-025,T-035,520.00,700.00
3700,3176.054,S1,520.00,200,sell,T-027,T-022,520.00,1000.00
3701,3176.054,S1,510.00,430,sell,T-007,T-022,520.00,1000.00
3702,3176.054,S1,500.00,370,sell,T-023,T-022,520.00,1000.00
3703,3179.258,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3704,3179.258,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3705,3181.330,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3706,3181.330,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3707,3181.803,S1,900.00,100,buy,T-017,T-041,500.00,900.00
3708,3182.067,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3709,3182.067,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3710,3182.369,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3711,3182.369,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3712,3182.546,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3713,3182.546,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3714,3182.727,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3715,3182.727,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3716,3182.889,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3717,3182.889,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3718,3183.116,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3719,3183.116,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3720,3183.220,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3721,3183.220,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3722,3183.423,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3723,3183.423,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3724,3183.626,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3725,3183.626,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3726,3183.807,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3727,3183.807,S1,500.00,409,sell,T-023,T-022,500.00,900.00
3728,3184.033,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3729,3184.033,S1,500.00,409,sell,T-023,T-022,500.00,900.00
